total_ntile,total_ntile_value
0,0
1,4581.921006677754
2,6402.41798286248
3,8347.45765047114
4,9710.475065567434
5,11042.968675520504
6,11341.52785755313
7.000000000000001,12151.636990235496
8,13164.27340608845
9,14176.909821941412
10,15189.546237794371
11,15533.45974652897
12,16202.182653647329
13,17214.81906950029
14.000000000000002,18227.455485353246
15,19240.091901206204
16,20252.72831705916
17,20252.72831705916
18,21265.36473291212
19,22278.001148765077
20,23290.637564618035
21,24303.273980470993
22,25007.797024051357
23,25315.910396323954
24,26328.5468121769
25,27341.18322802987
26,27948.765077541648
27,28609.237854954757
28.000000000000004,30112.901649011183
28.999999999999996,30379.092475588743
30,31391.728891441704
31,32404.365307294658
32,33417.001723147616
33,34429.63813900058
34,35442.27455485353
35,36454.91097070649
36,37467.54738655945
37,38480.18380241241
38,39492.82021826536
39,40505.45663411832
40,40910.511200459514
41,42152.67657564756
42,42935.78403216542
43,44150.94773118897
44,45568.638713383116
45,46444.17591459789
46,47771.14145951604
47,48606.547960941985
48,49898.27432023736
49,50631.82079264791
50,52049.51177484204
51,53669.730040206785
52,54759.53110182425
53,56707.63928776565
54,57822.53984033367
55.00000000000001,59543.02125215393
56.00000000000001,60758.184951177485
57.00000000000001,62052.162848409775
57.99999999999999,63454.70722650851
59,65416.31246410109
60,66834.00344629523
61,68859.27627800115
62,70557.72780813898
63,71087.07639287764
64,73719.93107409534
65,75947.73118897185
66,77162.89488799541
67,79188.1677197013
68,81010.91326823665
69,83238.71338311315
70,86074.09534750144
71,88126.32325854557
72,91073.80380140482
73,92149.91384261918
74,95187.82309017806
75,97213.09592188397
76,100656.05973578403
77,102073.75071797818
78,105118.07860686844
79,108554.62377943711
80,111390.00574382539
81,114578.11595638728
82,119491.09707064903
83,123339.1154508903
84,128604.82481332566
85,134139.39096063943
86,141566.57093624354
87,148595.2016414865
88,154438.59351636824
89,164106.48617213825
90,173363.35439402645
91,185047.4263146179
92,197317.1639028002
93,207995.51981619763
94,228855.8299827685
95,255244.79065532368
96,304528.67063299083
97,354736.0715601902
98,459463.62770103046
99,853248.184375413
100,289132e3
