race,race_ntile,racial_ntile_value,total_ntile
White,1,0,1
Black,1,0,1
Latino,1,0,1
White,2,4442.745201197037,1
Black,2,4241.222432749103,1
Latino,2,4827.067707473199,2
White,3,6818.300515550138,3
Black,3,6167.148876704435,2
Latino,3,5860.5231172883005,2
White,4,9113.727742676623,4
Black,4,7714.253821800172,3
Latino,4,6656.301359060788,3
White,5,11139.000574382539,6
Black,5,8451.812507247067,4
Latino,5,7831.434658104682,3
White,6,12151.636990235496,8
Black,6,8959.285256159357,4
Latino,6,9022.847103632757,4
White,7,13164.27340608845,9
Black,7,9714.428456332264,5
Latino,7,9691.103128867884,4
White,8,14176.909821941412,10
Black,8,10108.805719422058,5
Latino,8,10348.933346368673,5
White,9,15189.546237794371,11
Black,9,10700.04050857033,5
Latino,9,11341.52785755313,7
White,10,16202.182653647329,13
Black,10,11139.000574382539,6
Latino,10,12151.636990235496,8
White,11,17214.81906950029,14
Black,11,11341.52785755313,7
Latino,11,12759.21883974727,8
White,12,18024.928202182655,14
Black,12,11949.109707064905,7
Latino,12,13164.27340608845,9
White,13,18962.884450324953,15
Black,13,12151.636990235496,8
Latino,13,13911.50466689058,9
White,14,20050.20103388857,16
Black,14,12833.628859299624,8
Latino,14,14581.964388282597,10
White,15,20785.59522992791,18
Black,15,13164.27340608845,9
Latino,15,15392.073520964963,11
White,16,22207.041626427403,19
Black,16,13875.466421688508,9
Latino,16,16241.175357027261,13
White,17,23199.097184214635,20
Black,17,14176.909821941412,10
Latino,17,17012.291786329697,13
White,18,24303.273980470993,22
Black,18,14784.491671453186,10
Latino,18,17431.227308702582,14
White,19,24951.187876880525,22
Black,19,15189.546237794371,11
Latino,19,18227.455485353246,15
White,20,25315.910396323954,24
Black,20,15594.600804135556,12
Latino,20,18475.28734723944,15
White,21,26328.5468121769,25
Black,21,16398.29629250216,13
Latino,21,19442.619184376796,16
White,22,27341.18322802987,26
Black,22,17012.291786329697,13
Latino,22,20252.72831705916,18
White,23,28353.819643882824,27
Black,23,17543.40070286871,14
Latino,23,20455.255600229757,18
White,24,29456.552582298347,28
Black,24,18227.455485353246,15
Latino,24,21758.652297747467,19
White,25,30379.092475588743,30
Black,25,18429.982768523838,15
Latino,25,22186.804592623677,19
White,26,31391.728891441704,31
Black,26,19246.684359201427,16
Latino,26,22685.83879455064,20
White,27,32404.365307294658,32
Black,27,20252.72831705916,18
Latino,27,23493.164847788627,21
White,28,33626.916158496155,33
Black,28,20252.72831705916,18
Latino,28,24298.007500544423,21
White,29,34834.69270534176,34
Black,29,21062.837449741528,18
Latino,29,24516.10297216131,22
White,30,35644.80183802413,35
Black,30,21265.36473291212,19
Latino,30,25258.144045727666,23
White,31,36842.994724845645,36
Black,31,22278.001148765077,20
Latino,31,25720.96496266513,24
White,32,38156.574519821945,37
Black,32,22294.378005204646,20
Latino,32,26500.37463017234,25
White,33,39290.292935094774,38
Black,33,23290.637564618035,21
Latino,33,27341.18322802987,26
White,34,40505.45663411832,40
Black,34,23493.164847788627,21
Latino,34,27854.70887867363,26
White,35,41315.56576680068,41
Black,35,24303.273980470993,22
Latino,35,28593.450455602317,27
White,36,42530.72946582424,42
Black,36,24797.476226962848,22
Latino,36,29352.667762374516,28
White,37,43527.26960818525,43
Black,37,25315.910396323954,24
Latino,37,30229.47982518313,29
White,38,44556.002297530154,44
Black,38,25825.69027038769,24
Latino,38,30379.092475588743,30
White,39,45568.638713383116,45
Black,39,26531.0740953475,25
Latino,39,30680.059250084345,30
White,40,46711.44211708787,46
Black,40,27341.18322802987,26
Latino,40,31812.10545127301,31
White,41,47998.966111430214,47
Black,41,27948.76507754164,26
Latino,41,32432.15563243582,32
White,42,48748.317059161396,48
Black,42,28794.196006629725,28
Latino,42,33417.001723147616,33
White,43,50631.82079264791,50
Black,43,29974.037909247563,28
Latino,43,34283.13432103619,33
White,44,51281.244736377594,50
Black,44,30379.092475588743,30
Latino,44,35442.27455485353,35
White,45,52657.0936243538,51
Black,45,31060.504520118375,30
Latino,45,35442.27455485353,35
White,46,54369.59391290501,52
Black,46,31999.310740953475,31
Latino,46,35601.05876528814,35
White,47,55671.62131384072,53
Black,47,32404.365307294658,32
Latino,47,36454.91097070649,36
White,48,56707.63928776565,54
Black,48,33199.58394469016,32
Latino,48,37265.02010338886,36
White,49,58136.64654495439,55
Black,49,34375.36738523709,33
Latino,49,38358.04132551661,37
White,50,59289.21001305497,55
Black,50,34652.58060637248,34
Latino,50,38682.711085583,38
White,51,60758.184951177485,57
Black,51,35442.27455485353,35
Latino,51,39722.14517038595,39
White,52,61944.01368025686,57
Black,52,35847.329121194714,35
Latino,52,40505.45663411832,40
White,53,63312.343870185505,58
Black,53,36859.965537047676,36
Latino,53,40505.45663411832,40
White,54,65416.31246410109,60
