total_ntile,total_ntile_value
0,-2049140
1,-81087.33344730786
2,-51207.20685260304
3,-34742.38919314298
4,-25644.9329949048
5,-17292.562705454147
6,-11719.075471704351
7,-8044.135181030589
8,-5180.547574587476
9,-2815.7172369405125
10,-962.662993382755
11,0
12,52.100037195334195
13,329.69600272206804
14,685.4942443356796
15,1097.5318770025292
16,1557.7621379463696
17,2345.9836930286883
18,3207.9293902831773
19,4061.484423218116
20,4798.0601846456975
21,5634.032720280474
22,6422.900808970049
23,7647.489413009416
24,8937.551529924529
25,10243.048578694696
26,11427.17371039428
27,13041.886805751687
28,14966.358218201367
28,16890.239649630104
30,18753.840357359906
31,21007.08269945015
32,23119.50220089644
33,26078.942340826816
34,28478.99739100939
35,31036.58293540897
36,34198.66105477055
37,37961.559983731015
38,41287.86601642135
39,45132.56622028576
40,49132.20542504725
41,53802.72050032148
42,58478.15117494323
43,62888.29620964323
44,67161.48399634474
45,71733.74707890295
46,77116.41874871633
47,81691.57297460499
48,86755.36065401294
49,92030.66125530926
50,97225.55087782154
51,102279.90696269758
52,107059.77635179884
53,112806.77897121641
54,119761.73206275469
55,127003.36819401672
56,135874.39242779298
57,144458.46394501795
57,152105.9302157199
59,160296.07272624405
60,169550.63883521216
61,179048.66106695286
62,188205.2260528501
63,197097.66307643865
64,207190.44754624952
65,220741.60516145857
66,229390.67941802222
67,240574.41257831565
68,253313.53328193986
69,266670.00789383973
70,279594.267708653
71,294923.39095187595
72,311316.11762147007
73,324585.5330956571
74,344181.0889714211
75,369513.8219938038
76,394356.0625068809
77,413929.74489464797
78,438347.2674690473
79,469257.3266225824
80,499263.5036724863
81,541891.3260054451
82,583415.496509867
83,624695.9718336014
84,674295.6785110737
85,738349.973098636
86,807428.572133351
87,881870.8061128218
88,976916.2700138337
89,1069561.0060599
90,1182390.3600233078
91,1317962.175651461
92,1445578.1772246677
93,1677656.6576936939
94,2032246.3465084755
95,2377985.2204396753
96,2798189.1206991286
97,3703775.796845301
98,5816220.167634645
99,10374030.102985179
100,1587312e3
