race,race_ntile,racial_ntile_value,total_ntile
White,1,-2049140,1
Black,1,-224796,1
Latino,1,-159358,1
White,2,-73464.31939177825,2
Black,2,-95334.03284091328,1
Latino,2,-75425.01114913345,2
White,3,-44408.9542258751,3
Black,3,-68219.28212971054,2
Latino,3,-51365.514247993546,2
White,4,-29770.316197288834,4
Black,4,-51377.68871922807,2
Latino,4,-38567.62721986089,3
White,5,-20142.084552228916,5
Black,5,-37817.683542427,3
Latino,5,-26269.69987630159,4
White,6,-11844.11373052657,6
Black,6,-30584.3809065571,4
Latino,6,-15362.59785060877,6
White,7,-7962.831110351913,8
Black,7,-25915.36500530717,4
Latino,7,-8164.220964396239,7
White,8,-4632.821723426726,9
Black,8,-22113.920227399773,5
Latino,8,-4699.697399601849,9
White,9,-1890.0440031783226,10
Black,9,-17701.75727313952,5
Latino,9,-2507.8368054734105,10
White,10,-71.69873508000529,11
Black,10,-13841.77731800896,6
Latino,10,-1693.8001245689345,10
White,11,335.9784203545857,14
Black,11,-12044.479895921304,6
Latino,11,-949.2374019720042,11
White,12,1039.9557028179781,15
Black,12,-10399.132317794574,7
Latino,12,-244.50374942113393,11
White,13,1762.2095742059305,17
Black,13,-8118.072093188684,7
Latino,13,0,12
White,14,3126.6969885743033,18
Black,14,-6061.745757492033,8
Latino,14,0,12
White,15,4340.350274297786,20
Black,15,-4971.029606206591,9
Latino,15,9.895640206665638,12
White,16,5396.914167159461,21
Black,16,-3693.9209872943748,9
Latino,16,51.905449922749725,12
White,17,6625.028630727227,23
Black,17,-1969.2965743643933,10
Latino,17,152.3676123152404,13
White,18,8317.07844551626,24
Black,18,-980.3808200584144,10
Latino,18,282.61944820119635,13
White,19,9990.374528035993,25
Black,19,-265.7039272423561,11
Latino,19,451.30368287963813,14
White,20,11355.902563532174,26
Black,20,0.1309410126864169,12
Latino,20,721.1474573742132,15
White,21,13350.040105708747,28
Black,21,11.98980967695237,12
Latino,21,978.1899642735498,15
White,22,16381.125484633876,29
Black,22,109.89958373061802,13
Latino,22,1143.5657030399884,16
White,23,18836.27309189534,31
Black,23,212.45813711223553,13
Latino,23,1447.7284939636756,16
White,24,21318.778402193806,32
Black,24,323.79709564245263,13
Latino,24,1826.2453029331039,17
White,25,23531.15966337597,33
Black,25,446.6621536913477,14
Latino,25,2189.328029634343,17
White,26,26666.52512923329,34
Black,26,608.0417005976493,14
Latino,26,2565.5630327760223,18
White,27,29405.39214863914,35
Black,27,790.8246877693325,15
Latino,27,2921.209807787183,18
White,28,32277.809408076148,36
Black,28,910.9253545020385,15
Latino,28,3233.7512217541926,19
White,29,35401.477798711116,37
Black,29,1130.7651986803253,16
Latino,29,3529.276815416501,19
White,30,39817.41687380157,38
Black,30,1369.0096217506918,16
Latino,30,3908.065920325959,19
White,31,44614.43939716293,39
Black,31,1556.8400097874214,16
Latino,31,4446.423257928872,20
White,32,48873.91117645027,40
Black,32,1964.8713203866314,17
Latino,32,4838.760681724965,21
White,33,53545.8200182614,41
Black,33,2468.990648490194,18
Latino,33,5349.2818630491465,21
White,34,59350.831306571155,43
Black,34,3031.150659106669,18
Latino,34,6091.9012782452655,22
White,35,63875.9402136073,44
Black,35,3698.140270647467,19
Latino,35,6468.461324156613,23
White,36,67733.14533742671,45
Black,36,4199.377161582081,20
Latino,36,6978.067895851602,23
White,37,72443.46388648225,46
Black,37,4655.705910584217,20
Latino,37,7744.156874532065,24
White,38,78737.7834382217,47
Black,38,5160.721416169073,21
Latino,38,8993.082955612052,25
White,39,83155.54869560458,48
Black,39,5459.1058762541,21
Latino,39,10034.660677004224,25
White,40,88588.63558678699,49
Black,40,5709.5753593695135,22
Latino,40,10744.933682152017,26
White,41,94290.04671373009,50
Black,41,6259.051433994366,22
Latino,41,11788.625628761056,27
White,42,99682.14830750186,51
Black,42,6835.401687248726,23
Latino,42,12868.031426741949,27
White,43,103879.55347008778,52
Black,43,7788.230286788761,24
Latino,43,13560.188217723498,28
White,44,110077.82555400235,53
Black,44,8470.653604447758,24
Latino,44,14106.597327225198,28
White,45,114879.79249090173,54
Black,45,9254.415830136468,25
Latino,45,15218.45743384524,29
White,46,122474.74290757666,55
Black,46,10195.10856482831,25
Latino,46,16083.501168131677,29
White,47,130000.7040996688,56
Black,47,11189.3143705727,26
Latino,47,16568.10788234722,29
White,48,139584.477534041,57
Black,48,12149.369817641995,27
Latino,48,17419.338695952,30
White,49,147330.41515735668,58
Black,49,13609.614558362116,28
Latino,49,18328.302799744568,30
White,50,154523.26645883924,59
Black,50,14823.545258475895,28
Latino,50,19114.84544436739,31
White,51,162478.0251378782,60
Black,51,16365.790417759563,29
Latino,51,21301.485885513597,32
White,52,171576.73152504838,61
Black,52,18295.109989017204,30
Latino,52,22481.30294321064,32
White,53,179191.3430972883,62
Black,53,19920.547504506554,31
Latino,53,24215.875775541517,33
White,54,187443.33047766413,62
Black,54,22512.564216465154,32
Latino,54,26516.395832890255,34
White,55,194595.02455400437,63
Black,55,24877.230637775097,33
Latino,55,28113.55657510436,34
White,56,203298.96548204724,64
Black,56,27475.154365474056,34
Latino,56,29917.559435554558,35
White,57,213389.93055322208,65
Black,57,30083.493632573016,35
Latino,57,33154.28184056899,36
White,58,223422.84810459692,66
Black,58,32531.77227093839,36
Latino,58,36504.9537388316,37
White,59,229439.0988674309,67
Black,59,35512.918737239066,37
Latino,59,38906.100141498726,38
White,60,239002.8747773055,67
Black,60,38094.49929094501,38
Latino,60,43029.50159425782,39
White,61,249521.81356161376,68
Black,61,39789.49857587464,38
Latino,61,46900.78954362094,40
White,62,261166.93591188692,69
Black,62,40939.32464010209,38
Latino,62,51294.90177907847,41
White,63,271942.8396892133,70
Black,63,43141.5968842344,39
Latino,63,56545.19678452433,42
White,64,282319.4608450606,71
Black,64,45516.68695206461,40
Latino,64,60593.006328204334,43
White,65,296704.54264834593,72
Black,65,48064.81783655863,40
Latino,65,63433.50021475468,44
White,66,311201.26313561806,72
Black,66,52741.99247410925,41
Latino,66,67050.5323003613,44
White,67,320941.0520931754,73
Black,67,57515.838784059495,42
Latino,67,69591.28856615056,45
White,68,338846.94863042806,74
Black,68,60931.59383368549,43
Latino,68,73976.83425515627,46
White,69,357468.74167751556,75
Black,69,67440.93838216068,45
Latino,69,77600.32426447797,47
White,70,379468.5227016969,76
Black,70,72332.04989567908,46
Latino,70,81250.30504631685,47
White,71,398945.8720252788,77
Black,71,76665.2390934169,46
Latino,71,84790.748948038,48
White,72,414650.2441560937,78
Black,72,80698.2837102504,47
Latino,72,89703.04352658763,49
White,73,435878.0659196656,78
Black,73,84643.9923815644,48
Latino,73,93949.13543149267,50
White,74,460253.80083356344,79
Black,74,88966.52765257115,49
Latino,74,100912.66474032677,51
White,75,485063.4824650583,80
Black,75,92374.84207048659,50
Latino,75,105100.33284288435,52
White,76,517928.1545349134,81
Black,76,96666.17291203579,50
Latino,76,107896.26672003821,53
White,77,549605.4014250739,82
Black,77,102316.42828606689,52
Latino,77,111615.37003746392,53
White,78,585380.7898168893,83
Black,78,109160.34270520764,53
Latino,78,119457.47849807367,54
White,79,616564.5543860783,83
Black,79,116255.09284665967,54
Latino,79,127545.41335826172,56
White,80,656836.2776694273,84
Black,80,124931.67903992972,55
Latino,80,132998.6519951715,56
White,81,698976.6202419451,85
Black,81,131411.0602498609,56
Latino,81,137724.36251441698,57
White,82,752582.1700636285,86
Black,82,140729.3886184229,57
Latino,82,144094.40094533368,57
White,83,809752.3990777696,87
Black,83,151738.53971288065,58
Latino,83,154085.88110732185,59
White,84,866890.5973740022,87
Black,84,161223.98892896422,60
Latino,84,160061.55890934233,59
White,85,939735.8297418912,88
Black,85,177003.1893903358,61
Latino,85,168977.16973691384,60
White,86,1016417.5002184442,89
Black,86,189716.5063880117,63
Latino,86,183825.03236931673,62
White,87,1099926.9838583746,90
Black,87,202758.04187792368,64
Latino,87,200016.16545103234,64
White,88,1183678.1865435638,91
Black,88,225385.53406188227,66
Latino,88,221598.06331150193,66
White,89,1288505.6326166738,91
Black,89,241684.44639467337,68
Latino,89,239295.62205349669,67
White,90,1388331.3867213,92
Black,90,265712.15297400183,69
Latino,90,260392.72711154242,69
White,91,1527786.0898737935,93
Black,91,284592.3995028588,71
Latino,91,296202.8371837806,72
White,92,1719305.911694438,94
Black,92,303290.1449090397,72
Latino,92,331079.2423367916,74
White,93,1982940.3791734867,94
Black,93,336103.18641132343,74
Latino,93,364687.02089209674,75
White,94,2287112.6180046475,95
Black,94,375742.4561474801,76
Latino,94,423513.6154539397,78
White,95,2562777.0207623565,96
Black,95,407571.50997092156,77
Latino,95,490406.6318046311,80
White,96,2941061.1968807033,97
Black,96,458077.3780682919,79
Latino,96,579260.0528505972,82
White,97,3648726.0101341815,97
Black,97,524430.6756788892,81
Latino,97,694013.196976756,85
White,98,5043813.4109021705,98
Black,98,670585.7336344043,84
Latino,98,809958.785856391,87
White,99,7706989.9138503475,99
Black,99,904119.6410803683,88
Latino,99,1206348.7566509997,91
White,100,12147076.865819862,100
Black,100,1545477.0961002982,93
Latino,100,2289442.7196935695,95
White,101,1587312e3,101
Black,101,275968800,100
Latino,101,72365800,100
