year,race,type,value,racetype
1989,Black,Bottom 10%,-5.259528348889818,BlackBottom 10%
1989,Latino,Bottom 10%,-14.89480483143806,LatinoBottom 10%
1989,White,Bottom 10%,-1.0594683873097148,WhiteBottom 10%
1992,Black,Bottom 10%,-4.196829237380757,BlackBottom 10%
1992,Latino,Bottom 10%,-4.187822106622883,LatinoBottom 10%
1992,White,Bottom 10%,-2.3526607600313603,WhiteBottom 10%
1995,Black,Bottom 10%,-5.465929901547229,BlackBottom 10%
1995,Latino,Bottom 10%,-1.7424714194102149,LatinoBottom 10%
1995,White,Bottom 10%,-3.1925433381691497,WhiteBottom 10%
1998,Black,Bottom 10%,-3.6544840308142232,BlackBottom 10%
1998,Latino,Bottom 10%,-10.215995731215129,LatinoBottom 10%
1998,White,Bottom 10%,-2.8652307540142066,WhiteBottom 10%
2001,Black,Bottom 10%,-4.526532340393753,BlackBottom 10%
2001,Latino,Bottom 10%,-3.6054095288928116,LatinoBottom 10%
2001,White,Bottom 10%,-1.738752991537046,WhiteBottom 10%
2004,Black,Bottom 10%,-4.0192734994786035,BlackBottom 10%
2004,Latino,Bottom 10%,-4.73350732844873,LatinoBottom 10%
2004,White,Bottom 10%,-3.6282348142820218,WhiteBottom 10%
2007,Black,Bottom 10%,-6.9640670601241395,BlackBottom 10%
2007,Latino,Bottom 10%,-4.335237757562467,LatinoBottom 10%
2007,White,Bottom 10%,-2.8366592336861918,WhiteBottom 10%
2010,Black,Bottom 10%,-41.971436008387585,BlackBottom 10%
2010,Latino,Bottom 10%,-11.854697788970226,LatinoBottom 10%
2010,White,Bottom 10%,-6.7260343462245595,WhiteBottom 10%
2013,Black,Bottom 10%,-28.471196898660086,BlackBottom 10%
2013,Latino,Bottom 10%,-5.695151631156169,LatinoBottom 10%
2013,White,Bottom 10%,-8.44410286283964,WhiteBottom 10%
1989,Black,Top 1%,26.95988982980824,BlackTop 1%
1989,Latino,Top 1%,41.44119106605464,LatinoTop 1%
1989,White,Top 1%,29.857361988960264,WhiteTop 1%
1992,Black,Top 1%,32.444804914306076,BlackTop 1%
1992,Latino,Top 1%,21.521434692072965,LatinoTop 1%
1992,White,Top 1%,34.47140489768735,WhiteTop 1%
1995,Black,Top 1%,30.851786531031816,BlackTop 1%
1995,Latino,Top 1%,34.121100418830665,LatinoTop 1%
1995,White,Top 1%,29.848439083365985,WhiteTop 1%
1998,Black,Top 1%,32.42683148865044,BlackTop 1%
1998,Latino,Top 1%,33.83519362479463,LatinoTop 1%
1998,White,Top 1%,48.504034618791486,WhiteTop 1%
2001,Black,Top 1%,32.173411805396334,BlackTop 1%
2001,Latino,Top 1%,24.614192951948777,LatinoTop 1%
2001,White,Top 1%,42.56607515287109,WhiteTop 1%
2004,Black,Top 1%,50.54852635748579,BlackTop 1%
2004,Latino,Top 1%,17.377498387030904,LatinoTop 1%
2004,White,Top 1%,35.45207070194963,WhiteTop 1%
2007,Black,Top 1%,43.36790454671815,BlackTop 1%
2007,Latino,Top 1%,31.28173297967756,LatinoTop 1%
2007,White,Top 1%,52.9154086161476,WhiteTop 1%
2010,Black,Top 1%,40.41938284480502,BlackTop 1%
2010,Latino,Top 1%,33.67483795738027,LatinoTop 1%
2010,White,Top 1%,49.637495539617646,WhiteTop 1%
2013,Black,Top 1%,71.83142694050795,BlackTop 1%
2013,Latino,Top 1%,36.938972357308465,LatinoTop 1%
2013,White,Top 1%,42.68336931009435,WhiteTop 1%
